Date,Open,High,Low,Close,Adj Close,Volume
1/2/2014,5923.720215,5984.259766,5923.720215,5984.259766,5982.721191,80300
1/3/2014,5971.359863,5971.359863,5903.77002,5947.930176,5946.400879,74900
1/6/2014,5950.390137,5992.97998,5932.509766,5985.810059,5984.271484,77800
1/7/2014,5986.180176,5991.930176,5946.720215,5947.439941,5945.911133,68800
1/8/2014,5948.299805,5995.069824,5942.680176,5986.47998,5984.940918,55900
1/9/2014,5990.319824,5994.450195,5937.509766,5937.509766,5935.983398,60700
1/10/2014,5939.200195,5964.410156,5842.879883,5842.879883,5841.37793,38600
1/13/2014,5886.049805,5955.620117,5886.049805,5940.669922,5939.142578,93600
1/14/2014,5945.299805,5945.299805,5910.959961,5935.560059,5934.03418,89000
1/15/2014,5938.330078,5969.160156,5938.330078,5958.120117,5956.588379,55600
1/16/2014,5977.959961,5999.580078,5972.390137,5982.240234,5980.702148,44900
1/17/2014,5993.089844,6008.220215,5960.97998,5987.089844,5985.550781,98800
1/20/2014,5988.390137,6019.75,5988.390137,6005.600098,6004.056152,0
1/21/2014,6006.589844,6030.970215,5983.890137,6019.240234,6017.692871,57800
1/22/2014,6020.399902,6147.180176,6020.399902,6139.859863,6138.28125,88600
1/23/2014,6145.160156,6180.72998,6139.740234,6170.049805,6168.463867,71500
1/24/2014,6166.580078,6195.640137,6095.589844,6191.5,6189.908203,88600
1/27/2014,6185.580078,6185.580078,6035.97998,6081.609863,6080.046387,107400
1/28/2014,6080.160156,6080.379883,6022.810059,6022.810059,6021.261719,91200
1/29/2014,6023.259766,6090.390137,6023.259766,6069.839844,6068.279297,104600
1/30/2014,6061.790039,6061.790039,5984.120117,6041.189941,6039.636719,70600
2/3/2014,6041.77002,6042.5,5989.790039,6015.299805,6013.753418,57600
2/4/2014,6011.470215,6011.470215,5886.009766,5886.009766,5884.496582,100300
2/5/2014,5907.160156,5930.080078,5899.609863,5908.410156,5906.891113,61500
2/6/2014,5903.839844,5945.709961,5903.839844,5914.589844,5913.069336,51200
2/7/2014,5919.430176,6020.680176,5919.430176,6011.140137,6009.594727,80900
2/10/2014,6011.549805,6063.5,6011.549805,6042.25,6040.696777,76000
2/11/2014,6049.870117,6110.97998,6049.870117,6106.029785,6104.459961,69300
2/12/2014,6107.649902,6146.72998,6099.700195,6112.310059,6110.73877,129600
2/13/2014,6118.129883,6118.129883,6078.609863,6101.720215,6100.151855,66100
2/14/2014,6107.439941,6119.330078,6092.97998,6113.660156,6112.088379,44900
2/17/2014,null,null,null,null,null,null
2/18/2014,6168.169922,6203.189941,6168.169922,6193.970215,6192.37793,81000
2/19/2014,6197.660156,6294.620117,6197.660156,6294.620117,6293.001953,92800
2/20/2014,6312.910156,6353.390137,6277.040039,6352.759766,6351.126465,102100
2/21/2014,6351.77002,6357.899902,6297.25,6308.359863,6306.738281,84100
2/24/2014,6329.72998,6372.669922,6296.319824,6296.319824,6294.701172,106700
2/26/2014,6294.470215,6328.459961,6261.180176,6322.600098,6320.974609,85700
2/27/2014,6323.450195,6354.790039,6323.450195,6354.790039,6353.15625,99100
2/28/2014,6362.060059,6424.990234,6360.709961,6424.990234,6423.338379,101000
3/3/2014,6424.850098,6428.839844,6370.759766,6407.52002,6405.873047,62700
3/4/2014,6401.160156,6412.970215,6385.970215,6394.600098,6392.956055,79400
3/5/2014,6399.669922,6482.149902,6399.669922,6456.140137,6454.480469,105300
3/6/2014,6487.939941,6520.330078,6487.939941,6516.819824,6515.144531,101600
3/7/2014,6528.850098,6550.939941,6481.830078,6481.830078,6480.163574,73600
3/10/2014,6480.330078,6501.160156,6476.910156,6487.22998,6485.5625,49200
3/11/2014,6485.52002,6535.919922,6485.52002,6529.580078,6527.901367,88000
3/12/2014,6524.669922,6524.669922,6462.470215,6462.470215,6460.809082,89100
3/13/2014,6465.220215,6465.220215,6415.600098,6429.790039,6428.137207,59300
3/14/2014,6423.180176,6423.180176,6343.850098,6391.240234,6389.597168,47900
3/17/2014,6389.439941,6402.649902,6371.700195,6399.990234,6398.344727,80700
3/18/2014,6399.790039,6471.120117,6399.790039,6466.549805,6464.887207,72700
3/19/2014,6476.180176,6487.910156,6456.330078,6462.490234,6460.829102,103500
3/20/2014,6449.509766,6449.509766,6403.009766,6417.350098,6415.700195,67000
3/21/2014,6433.27002,6441.629883,6339.259766,6339.259766,6337.629883,67100
3/24/2014,6370.410156,6403.049805,6365.839844,6400.669922,6399.024414,52900
3/25/2014,6384.72998,6384.72998,6330.77002,6336.339844,6334.710938,56800
3/26/2014,6336.680176,6351.009766,6324.450195,6348.5,6346.868164,62100
3/27/2014,6349.720215,6361.27002,6307.919922,6315.689941,6314.066406,86400
3/28/2014,6318.629883,6359.620117,6310.209961,6359.620117,6357.985352,76600
3/31/2014,6374.149902,6428.709961,6374.149902,6428.709961,6427.057129,102900
4/1/2014,6429.560059,6514.720215,6423.899902,6514.720215,6513.04541,115300
4/2/2014,6515.720215,6602.819824,6515.720215,6587.720215,6586.026855,163400
4/3/2014,6590.080078,6618.529785,6551.72998,6587.080078,6585.386719,101600
4/4/2014,6607.060059,6626.009766,6561.200195,6561.200195,6559.513672,155500
4/7/2014,6562.390137,6617.290039,6558.149902,6614.399902,6612.699707,72700
4/8/2014,6614.810059,6614.810059,6573.950195,6587.490234,6585.796875,74300
4/10/2014,6615.950195,6652.759766,6615.950195,6638.890137,6637.183594,170000
4/11/2014,6635.490234,6635.490234,6570.600098,6596.959961,6595.26416,74700
4/14/2014,6597.509766,6600.879883,6572.52002,6589.549805,6587.855957,37800
4/15/2014,6593.120117,6629.700195,6593.120117,6621.660156,6619.958008,63700
4/16/2014,6627.490234,6675.569824,6627.439941,6671.180176,6669.465332,75900
4/21/2014,6699.580078,6768.870117,6699.580078,6767.509766,6765.77002,103100
4/22/2014,6784.47998,6815.259766,6781.279785,6784.950195,6783.206055,160700
4/23/2014,6795.950195,6798.540039,6766.209961,6769.52002,6767.779785,84200
4/24/2014,6766.430176,6767,6725.830078,6731.330078,6729.599609,54600
4/25/2014,6730.410156,6733.149902,6685.100098,6685.100098,6683.381348,46100
4/28/2014,6692.220215,6692.220215,6604.350098,6604.350098,6602.652344,75700
4/29/2014,6608.970215,6666.169922,6608.970215,6636.450195,6634.744141,59500
4/30/2014,6652.029785,6710.049805,6652.029785,6707.910156,6706.185547,70800
5/2/2014,6707.910156,6752.120117,6707.910156,6742.970215,6741.236816,62400
5/5/2014,6738.27002,6772.890137,6723,6766.459961,6764.720703,22000
5/6/2014,6767.330078,6771.850098,6749.77002,6765.930176,6764.190918,32400
5/7/2014,6765.180176,6765.419922,6742.689941,6748.509766,6746.774902,59900
5/8/2014,6750.990234,6789.470215,6750.990234,6765.209961,6763.470703,66600
5/9/2014,6766.819824,6853.830078,6766.819824,6847.259766,6845.499512,114700
5/12/2014,6835.279785,6842.700195,6801.879883,6811.339844,6809.588867,61700
5/13/2014,6811.899902,6872.029785,6811.899902,6852.810059,6851.04834,75900
5/14/2014,6869.25,6906.629883,6869.25,6880.439941,6878.671387,118300
5/15/2014,6879.629883,6895.959961,6842.419922,6849.330078,6847.569336,139700
5/16/2014,6849.859863,6849.859863,6787.669922,6817.709961,6815.95752,138100
5/19/2014,6818.160156,6878.509766,6818.160156,6870.899902,6869.133789,123700
5/20/2014,6878.939941,6908.589844,6874.600098,6882.72998,6880.960449,106700
5/21/2014,6885.879883,6885.879883,6759.490234,6762.379883,6760.641602,75500
5/22/2014,6769.25,6833.740234,6769.25,6830.580078,6828.824219,72900
5/23/2014,6830.580078,6843.140137,6771.160156,6811.330078,6809.579102,83700
5/26/2014,6811.589844,6819.879883,6774.149902,6790.419922,6788.674316,77200
5/27/2014,6784.060059,6786.259766,6770.899902,6780.259766,6778.516602,51000
5/28/2014,6780.259766,6808.430176,6780.259766,6787.879883,6786.134766,88600
5/29/2014,6797.189941,6811.060059,6676.669922,6676.669922,6674.953613,87700
5/30/2014,6694.129883,6708.419922,6647.649902,6647.649902,6645.940918,90900
6/2/2014,6647.919922,6715.27002,6647.919922,6710.399902,6708.674805,55200
6/3/2014,6710.740234,6802.22998,6710.740234,6800.839844,6799.091309,83200
6/4/2014,6801.430176,6836.160156,6766.569824,6766.569824,6764.830078,66900
6/5/2014,6764.410156,6772.439941,6743.819824,6772.439941,6770.69873,129100
6/6/2014,6773.120117,6792.089844,6760.540039,6762.620117,6760.881836,74300
6/9/2014,6778.970215,6809.109863,6775.660156,6802.72998,6800.980957,111000
6/10/2014,6808.740234,6813.290039,6761.669922,6777.97998,6776.237305,66900
6/11/2014,6778.879883,6832.810059,6778.879883,6809.180176,6807.429688,75200
6/13/2014,6807.580078,6809.089844,6773.169922,6784.950195,6783.206055,75500
6/16/2014,6782.97998,6800.060059,6758.450195,6758.450195,6756.712891,46800
